PDB codes,0,1,2,3,4,5,6,7,8,9,Output
"2l41 , 1wwf",1.5357043571595475,-2.2112472142612627,-0.47048878859050175,-0.24826074152898223,1.8175862392425284,-0.9194598919400875,0.32209204900827043,0.7723613883204525,-0.23293491309907446,0.5155351288272968,0
"1osb , 5wzk",-5.650600492824461,7.31185139823419,-0.17476868518990257,-1.871334196107233,-1.1421441011220232,-1.9209744044822417,-0.8279670373112059,-0.28362759641477586,-0.8597443592715247,0.17396840616004045,1
"1zzi , 2kkf",0.11476919963203437,-0.9251955163344722,0.9858440337063951,0.5491733273073592,-1.5626391978925007,0.39755021087285086,-0.8475360461354273,-0.6404936638775498,-0.014598122304666145,-0.11291736358037385,1
"5wzg , 1omh",1.010364808631088,2.443533879148828,1.1474650433427882,-1.3888905195559993,-0.3088843270112183,1.3116494623288395,0.472477713424228,0.8590088002862795,0.06888112138894406,-0.5056514320304294,1
"2glo , 2kh9",-1.166480531985299,-2.151805127598224,-0.3046586020910032,0.3557390439378634,0.9367477085234467,0.6849899692765541,0.811798078360975,0.17764038153828576,-0.07693977521224213,-0.22618873242156434,1
"4hid , 1s03",2.6792651421197666,0.7419931596152622,1.186080902784088,0.6729440767457918,-0.2513390176874697,0.33653327737604216,-0.48924230410765684,-0.24223355315071204,-0.36147599976884526,0.0836068836078242,0
"1exd , 1osb",5.137410583604933,7.827922153938891,1.4390895691137549,-2.7454619859181837,-2.0968231589128816,0.3083587890151206,0.62638966668562,0.44174845615354164,0.3071210708733776,-0.8546666742462588,1
"4hik , 2la5",0.5129559849310569,-1.1002858659413455,0.5482922684179815,-0.10510521511883913,1.03259427912645,-0.15441241335540637,1.2142815714446047,1.0329601086871716,-0.28229099207421915,0.4622114961985617,0
"2kx5 , 2gkd",-1.5055505798695006,-1.930252602329297,-0.06560379816396655,0.9657636162853288,-0.6613683210071007,-0.31644883913174454,0.6251513243100961,0.9236843791078783,0.4067235103988927,0.14508502391098566,1
"2err , 5wzg",1.7609202791410692,-0.23850867049547206,-1.1180195215959523,-1.37411966500905,0.974324100409588,-0.7452511235869688,-0.6072795940571604,0.20609606394364388,0.1037206402879423,0.08682573049015488,1
