Ro,Theta,Phi,3,4,5,6,7,8
7.24908123770868,0.17020669256260987,0.8134702189277304,-2.343,2.646,15.395,-405.38,41.32,1.0
5.377561372759962,0.9250179841051298,0.6043017714185844,0.738,2.059,-12.311,-404.81,27.42,1.0
3.9886484037327734,-1.1573534330087227,1.2974931439531914,5.036,3.188,-10.928,-404.78,26.87,1.0
5.367603668183783,0.3863833657978501,1.2876152209831897,6.958,-11.657,-2.528,-404.62,26.62,1.0
6.475562326964354,0.2397026964441721,1.3323792063675413,6.6,-0.216,10.676,-404.32,24.0,1.0
7.5555943409171995,0.5469083067596835,0.49195071711034505,4.899,-0.643,-9.974,-404.21,39.67,1.0
3.629071331608129,0.9378443199825128,0.9066720079478512,9.263,-0.92,-10.853,-404.09,37.76,1.0
6.383456493381936,0.2678823374529508,1.3591934654627635,8.56,-0.268,10.678,-403.26,23.22,1.0
2.1165312266300256,-1.4655127431529125,0.8278437798105673,7.29,0.349,10.583,-403.07,23.89,1.0
7.308589051034406,0.48551171445880864,0.5870729323827265,10.048,-0.097,-5.5,-403.05,35.98,1.0
3.764028175386045,0.9457300798951513,0.8681407756496808,9.156,-1.907,-9.773,-402.84,36.0,1.0
4.030071119446902,0.7542825320257124,0.8691773416297996,6.392,-6.357,-10.881,-402.29,37.72,1.0
7.330269927976732,0.49167807332007146,0.5831654948283379,10.08,-0.751,-5.568,-402.21,35.92,1.0
5.272306503931652,1.039431343281315,0.6430379182947507,4.69,2.872,-11.035,-402.02,26.78,1.0
6.485750546814146,0.2382098656774923,1.3348277651116887,6.568,0.078,10.872,-401.66,24.12,1.0
3.456769077708258,1.1024380854216518,0.8539666530281043,6.853,1.81,-3.527,-401.17,31.53,1.0
3.307615902806733,0.5377573526992812,1.5014006676395846,2.951,2.502,-10.504,-400.72,41.01,1.0
6.463412458763559,0.2405978848321667,1.3248044916871016,6.762,-0.7,10.64,-400.6,23.94,1.0
5.2816414926706265,0.062371304470966706,0.17744353918614475,2.16,-0.033,-0.287,-400.53,3.49,1.0
5.786937890395921,-1.517069867595258,0.6133979804604037,4.381,-0.734,-7.25,-400.47,41.74,1.0
4.739729531555572,-0.003627931039696436,1.073183850999506,1.369,2.653,0.133,-400.33,3.82,1.0
2.2145963401261186,-1.4586549574250816,0.7832284992436135,7.168,-0.255,10.423,-399.76,23.98,1.0
3.3803465944337723,0.45217425237558045,1.6084848166097285,3.787,5.203,-9.284,-399.26,40.5,1.0
4.4316525297681,1.398016023940762,0.7295478304170158,8.045,2.814,-8.352,-399.23,26.14,1.0
5.704611463088437,0.6401579870139749,1.0773397460062624,3.329,-1.379,-5.836,-398.8,41.38,1.0
4.410784626684917,-0.009107235452236406,0.7046341577034594,1.386,-0.145,0.129,-398.61,1.86,1.0
4.667563526402185,1.2898264733218663,0.7022715192731862,7.916,3.053,-9.053,-398.59,26.04,1.0
5.6320260092261645,0.34963019314908556,1.620082741215075,14.782,12.166,11.645,-398.27,35.01,1.0
7.235334704863349,0.06904441601214183,0.8097179145377418,3.099,1.549,14.583,-397.71,39.97,1.0
5.379546032157361,0.68749402539271,0.606784777568707,-6.723,2.58,-12.336,-397.46,29.24,1.0
3.677397015566853,0.9328609386097414,0.8867053939004599,9.86,-1.982,-11.306,-397.41,37.46,1.0
6.445116332991981,0.23315448941645067,1.3248276165840158,6.03,-0.582,11.025,-397.0,23.85,1.0
5.467361060923268,0.20261641723558754,0.9833797119985012,3.199,-6.284,13.185,-396.96,29.8,1.0
2.188437603337139,-1.428364203783455,0.8070143449537454,7.665,-0.984,10.706,-396.89,23.66,1.0
7.2462707950917755,0.10361287467787206,0.735303806835899,2.835,2.972,14.659,-396.47,40.46,1.0
4.52364571041986,-0.03431109243193402,0.9049158720742569,1.351,2.497,0.082,-396.01,3.99,1.0
8.202532526549346,0.3374915719422657,0.7640087844298702,13.002,12.551,13.015,-395.88,35.55,1.0
4.777568114019934,0.7221726378901929,1.1841831300943628,4.951,-2.384,-7.653,-395.64,41.1,1.0
7.217268939072452,0.08031015435841359,0.7452262264186517,3.692,2.594,13.966,-395.27,40.27,1.0
4.101537751063618,0.4706617376599435,1.6314449134288727,9.889,0.478,-4.873,-395.15,36.1,1.0
2.2422499393689366,-1.4649924348181496,0.9675394667709465,9.967,1.493,9.162,-394.96,24.47,1.0
7.410714994006988,0.49218410819521885,0.5788087167846108,10.167,-1.413,-5.478,-394.69,35.79,1.0
3.6170898338857995,0.9342789869396043,0.9010580494162399,9.809,-1.541,-11.237,-394.33,37.92,1.0
7.120092427834066,0.254120903812018,0.545369781461409,7.311,5.785,1.411,-394.01,40.91,1.0
7.189875990877729,0.09138791177559843,0.7183235994383139,4.378,1.234,6.12,-393.76,39.22,1.0
7.183316520960218,0.22705194122275663,0.5559012454679483,7.536,5.481,2.754,-393.5,40.69,1.0
6.941197322083561,0.7703462141500771,0.3986312079776471,-8.074,-0.058,-10.755,-392.38,41.74,1.0
6.939790250447055,0.7529499221773723,0.3948848585412439,-7.818,0.449,-10.766,-392.04,41.7,1.0
5.479521042472599,0.1851089912960231,0.9731141031112717,2.875,-4.794,13.374,-391.97,29.6,1.0
3.5367065967082993,1.1606094594241252,1.574624756636473,3.407,-1.914,-5.693,-391.94,40.93,1.0
5.24196895241664,1.0633503174375447,0.64464965836486,4.89,2.794,-10.521,-391.8,26.71,1.0
2.6504202475833902,0.7361888759523573,1.5298177707574914,-7.454,1.004,-11.272,-391.27,41.59,1.0
4.749352506605506,1.2739762282699858,0.7250405157801543,7.148,4.622,-7.711,-391.01,26.01,1.0
2.2429395250652657,-1.5306981772804005,0.8924893454696367,9.308,1.78,8.982,-390.63,25.08,1.0
3.9737744757472084,0.8098111219390807,1.289506494454217,7.052,0.009,-9.26,-390.08,41.98,1.0
3.7809596782034056,0.8935188795494053,0.8415262461483171,10.088,-4.272,-10.894,-389.98,36.36,1.0
5.24291972962585,0.6660747142565379,0.6324251557102698,-7.296,0.622,-11.927,-389.89,29.46,1.0
7.152025475220289,0.24095026962738406,0.5417201716628441,7.464,5.714,1.672,-389.79,40.92,1.0
2.9734459932206603,1.4227232561434715,0.45075777060572486,7.769,3.375,-3.998,-389.32,30.78,1.0
3.3306698472679637,0.5006644755496565,1.3646814847302142,4.718,2.126,-10.505,-388.85,41.7,1.0
2.780522452777535,-0.17604676221219215,0.6798732454690398,4.209,2.408,13.607,-388.74,40.24,1.0
6.4439720333424795,0.23028702824140224,1.3194930556353242,5.613,-0.449,10.971,-388.61,23.81,1.0
4.73488426246091,0.5067475926502039,0.9028308395613777,1.472,-9.509,3.011,-388.47,35.25,1.0
2.891115342060915,0.4940020706312949,0.9997230446682365,9.708,14.282,-8.864,-388.44,41.63,1.0
3.8232709198930697,0.9015460630287175,0.8432167593542252,9.093,-3.66,-10.222,-388.31,35.85,1.0
2.9901062043178332,1.4229682777885462,0.3859035149565997,8.599,2.229,-3.306,-388.3,32.38,1.0
5.458348083532233,0.19229660321520103,0.953210078258059,2.1,-5.174,13.127,-388.22,30.12,1.0
2.226652996360232,-1.4844357455812094,0.7530437178329042,6.86,-0.126,10.263,-388.19,24.58,1.0
8.131144151600068,0.3755301167557132,0.760416939362967,13.777,14.132,9.681,-388.12,36.25,1.0
3.105882416206383,1.5639772578249873,0.3069842349541134,8.079,1.5,-1.007,-387.92,34.05,1.0
7.917947535378092,0.483920750509673,0.7548130823058062,18.061,9.759,-4.979,-387.75,37.72,1.0
3.7196146233312932,0.9424816232583993,0.8361499040658155,10.617,-3.687,-10.15,-386.74,35.57,1.0
8.152064552915414,0.3758987783295422,0.7589720375025254,13.997,13.964,9.633,-386.61,36.07,1.0
2.440531655213675,0.6346118028070461,0.9953109274110276,7.545,-8.514,-11.749,-386.52,43.48,1.0
6.3944568620172895,0.23640049447071113,1.3200818826547682,6.024,-1.147,11.047,-386.5,23.3,1.0
4.004812775561424,0.45963228093281905,1.6363794778182565,9.448,1.572,-5.996,-386.38,36.96,1.0
3.5208418390208895,1.569948131393088,0.25385961086999975,7.686,-1.162,-1.356,-386.31,35.21,1.0
3.986885550075397,0.7674084053282828,0.8664438474840764,6.542,-5.407,-10.478,-386.18,37.27,1.0
5.4981438051582465,-1.4218383676862514,0.7915076631634952,11.096,3.456,-11.031,-386.13,42.13,1.0
